second,cpu-cpu_percent[0],cpu-iowtime[1],cpu-cpu_frequency[2],cpu-null[3],cpu-null[4],cpu-null[5],cpu0-cpu_percent[0],cpu0-iowtime[1],cpu0-cpu_frequency[2],cpu0-null[3],cpu0-null[4],cpu0-null[5],cpu1-cpu_percent[0],cpu1-iowtime[1],cpu1-cpu_frequency[2],cpu1-null[3],cpu1-null[4],cpu1-null[5],cpu2-cpu_percent[0],cpu2-iowtime[1],cpu2-cpu_frequency[2],cpu2-null[3],cpu2-null[4],cpu2-null[5],cpu3-cpu_percent[0],cpu3-iowtime[1],cpu3-cpu_frequency[2],cpu3-null[3],cpu3-null[4],cpu3-null[5],cpu4-cpu_percent[0],cpu4-iowtime[1],cpu4-cpu_frequency[2],cpu4-null[3],cpu4-null[4],cpu4-null[5],cpu5-cpu_percent[0],cpu5-iowtime[1],cpu5-cpu_frequency[2],cpu5-null[3],cpu5-null[4],cpu5-null[5],cpu6-cpu_percent[0],cpu6-iowtime[1],cpu6-cpu_frequency[2],cpu6-null[3],cpu6-null[4],cpu6-null[5],cpu7-cpu_percent[0],cpu7-iowtime[1],cpu7-cpu_frequency[2],cpu7-null[3],cpu7-null[4],cpu7-null[5],irqs,ctxt,processes,procs_running,procs_blocked,totalram,freeram,cached,Reserve01,Reserve02,Reserve03,Reserve04,Reserve05,Reserve06
11-26 15:34:10.383< 2540.645737>,28,0,0,0,0,0,38,0,768000,0,0,0,28,0,768000,0,0,0,22,0,768000,0,0,0,17,1,768000,0,0,0,64,0,768000,0,0,0,52,0,768000,0,0,0,6,0,768000,0,0,0,1,0,768000,0,0,0,0,0,21620,1,0,2954296,2053220,1158432,0,0,0,0,0,0
11-26 15:34:11.386< 2541.648898>,31,0,0,0,0,0,57,0,1200000,0,0,0,40,0,1200000,0,0,0,37,0,1200000,0,0,0,29,0,1200000,0,0,0,55,0,1600000,0,0,0,24,0,1600000,0,0,0,4,0,1600000,0,0,0,2,0,1600000,0,0,0,7346,9343,21636,4,0,2954296,2049724,1161744,0,0,0,0,0,0
11-26 15:34:12.389< 2542.651779>,31,0,0,0,0,0,52,0,1200000,0,0,0,50,1,1200000,0,0,0,37,1,1200000,0,0,0,36,1,1200000,0,0,0,43,0,1600000,0,0,0,21,0,1600000,0,0,0,3,0,1600000,0,0,0,2,0,1600000,0,0,0,0,0,21650,6,0,2954296,2041376,1177216,0,0,0,0,0,0
11-26 15:34:13.392< 2543.654730>,26,0,0,0,0,0,57,0,1200000,0,0,0,45,0,1200000,0,0,0,29,0,1200000,0,0,0,17,0,1200000,0,0,0,38,0,1600000,0,0,0,18,0,1600000,0,0,0,5,0,1600000,0,0,0,0,0,1600000,0,0,0,9410,12252,21665,2,0,2954296,2034664,1180216,0,0,0,0,0,0
11-26 15:34:14.394< 2544.656879>,21,0,0,0,0,0,46,1,1200000,0,0,0,33,0,1200000,0,0,0,21,0,1200000,0,0,0,8,0,1200000,0,0,0,37,0,1600000,0,0,0,11,0,1600000,0,0,0,12,1,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21667,3,0,2954296,2033536,1183620,0,0,0,0,0,0
11-26 15:34:15.397< 2545.659484>,24,0,0,0,0,0,50,0,1200000,0,0,0,34,0,1200000,0,0,0,22,0,1200000,0,0,0,14,0,1200000,0,0,0,52,0,768000,0,0,0,13,0,768000,0,0,0,2,0,1600000,0,0,0,2,0,1600000,0,0,0,8321,10353,21675,5,0,2954296,2045584,1185948,0,0,0,0,0,0
11-26 15:34:16.400< 2546.662070>,21,0,0,0,0,0,55,0,1000000,0,0,0,43,0,1000000,0,0,0,28,0,1000000,0,0,0,28,0,1000000,0,0,0,13,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,2,0,768000,0,0,0,0,0,21677,3,0,2954296,2046756,1188608,0,0,0,0,0,0
11-26 15:34:17.403< 2547.665031>,19,0,0,0,0,0,45,0,1200000,0,0,0,34,0,1200000,0,0,0,16,0,1200000,0,0,0,13,0,768000,0,0,0,36,0,1600000,0,0,0,6,0,1600000,0,0,0,1,0,1600000,0,0,0,3,0,1600000,0,0,0,7255,8187,21684,4,0,2954296,2044852,1191200,0,0,0,0,0,0
11-26 15:34:18.406< 2548.668181>,22,0,0,0,0,0,52,0,1200000,0,0,0,41,0,1200000,0,0,0,33,0,1200000,0,0,0,26,0,1200000,0,0,0,19,0,1600000,0,0,0,4,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21684,14,0,2954296,2043060,1193764,0,0,0,0,0,0
11-26 15:34:19.408< 2549.670672>,16,0,0,0,0,0,33,0,768000,0,0,0,24,0,768000,0,0,0,18,0,768000,0,0,0,19,0,768000,0,0,0,10,0,768000,0,0,0,11,0,768000,0,0,0,9,0,768000,0,0,0,2,0,768000,0,0,0,4580,5468,21684,3,0,2954296,2041544,1196300,0,0,0,0,0,0
11-26 15:34:20.411< 2550.673755>,15,0,0,0,0,0,31,0,884000,0,0,0,25,0,884000,0,0,0,17,0,884000,0,0,0,17,0,884000,0,0,0,18,0,1600000,0,0,0,9,0,1600000,0,0,0,6,0,768000,0,0,0,0,0,768000,0,0,0,0,0,21684,3,0,2954296,2040360,1199052,0,0,0,0,0,0
11-26 15:34:21.414< 2551.676294>,48,0,0,0,0,0,84,0,1200000,0,0,0,78,0,1200000,0,0,0,69,0,1200000,0,0,0,66,1,1200000,0,0,0,38,1,1400000,0,0,0,36,0,1400000,0,0,0,8,0,1400000,0,0,0,8,0,1400000,0,0,0,9913,14154,21706,4,0,2954296,2033012,1202324,0,0,0,0,0,0
11-26 15:34:22.416< 2552.678847>,52,0,0,0,0,0,85,0,768000,0,0,0,86,0,768000,0,0,0,83,0,1000000,0,0,0,80,0,1000000,0,0,0,45,0,1600000,0,0,0,28,0,1600000,0,0,0,8,0,1600000,0,0,0,1,0,1600000,0,0,0,0,0,21744,6,0,2954296,2032772,1202696,0,0,0,0,0,0
11-26 15:34:23.420< 2553.682377>,25,0,0,0,0,0,52,0,768000,0,0,0,36,0,768000,0,0,0,33,0,768000,0,0,0,31,0,768000,0,0,0,29,0,768000,0,0,0,13,0,768000,0,0,0,2,0,768000,0,0,0,2,0,768000,0,0,0,4376,5398,21769,2,0,2954296,2029880,1203244,0,0,0,0,0,0
